1,g223622,A1301/A130101/13014902/,銀座ファーストビル直下の和食屋。雨の日とか便利。バウチャー使えます。,土風炉
2,g223601,A1301/A130101/13002465/,銀座ファーストビル直下の中華料理屋。ちょっと高めだけどバウチャー使えます。,過門香
3,g853173,A1301/A130101/13138373/,言わずと知れた「ニクヤ」。サラダバーあり、コーヒー持ち帰りOKと至れり尽くせり。,N9Y
4,6954195,A1301/A130101/13159038/,ささみカツが最高。ちょっと遠いけど行く価値あり。,イマカツ
5,6316220,A1301/A130101/13025298/,とんかつの名店。並ぶこともあるのでちょっと時間をずらして行くべし。,西邑
6,1022330,A1301/A130101/13002378/,寿司屋。木下（雄）とご飯を食べるときはここ行っておけば間違いなし。,まる伊
7,e983301,A1302/A130202/13152418/,ランチメニューはチキンライス、ハンバーグ、ステーキなど。バウチャー使えます。,京橋テラス
8,a072800,A1301/A130101/13007587/,佐藤イチオシのインドカレー屋。タンドリーチキンがおいしい。,オールドデリー
9,g264000,A1301/A130101/13002469/,老舗のイタリアン。身体が大量のパスタを欲したらここ。,イタリー亭
10,5428126,A1301/A130101/13013316/,オフィスから徒歩30秒の和食屋。健康的な食事を食べられます。,青山
11,e758502,A1301/A130101/13117961/,オフィスから徒歩30秒の中華料理屋。近いしうまい。,ジョーズシャンハイニューヨーク
12,ge8t100,A1301/A130101/13007705/,東銀座の蕎麦屋。鶏せいろが最高。バウチャー使えるのも◎,長寿庵
13,g361600,A1301/A130101/13025818/,ハンバーグ屋。「おいしいものを安く提供（しかも銀座で）」というスタンスが素敵。,AOI
14,a207505,A1301/A130101/13077944/,佐藤が一年目のときにファミリーで行った思い出の焼肉屋。センチメンタル。,でですけ
15,6351857,A1301/A130101/13131867/,言わずと知れた牛タン屋。バウチャー使えます。,ねぎし
16,6964525,A1301/A130101/13162797/,ランチは鯛めし定食（\1,200）のみ。あら汁一杯おかわり可能、鯛めしは無限におかわり可能。,尾辰
17,gau4900,A1301/A130101/13002322/,鯛茶漬けの名店。予約必須。,うち山
18,p963302,A1301/A130101/13119621/,野菜食べたくなったらここ。,農家の台所
19,a466102,A1301/A130101/13004869/,パスタ、ピザの気分ならここ。バウチャー使えます。,イゾラブル
20,5853519,A1301/A130101/13051375/,パンがでかい。ちょっと遠いけどパンがでかいです。,喫茶アメリカン
21,e809605,A1301/A130101/13166365/,しゃぶしゃぶの名店。落ち着いた雰囲気なので、ビジョンランチとかに最適。,ひょうき
22,ga2b700,A1301/A130101/13104436/,ランチメニューはすき焼き、焼き肉。佐藤が池田（隆）さんとらんらんランチに行った思い出の店。センチメンタル。,馬喰一代
23,a263007,A1301/A130101/13133912/,ランチメニューはうなぎ、天ぷらなど。テイクアウト可。,ふなちゅう
